贸易伙伴名称,贸易伙伴编码,ISO_A3,ISO_A2
阿富汗,101,AFG,AF
巴林,102,BHR,BH
孟加拉国,103,BGD,BD
不丹,104,BTN,BT
文莱,105,BRN,BN
缅甸,106,MMR,MM
柬埔寨,107,KHM,KH
塞浦路斯,108,CYP,CY
朝鲜,109,PRK,KP
中国香港,110,HKG,HK
印度,111,IND,IN
印度尼西亚,112,IDN,ID
伊朗,113,IRN,IR
伊拉克,114,IRQ,IQ
以色列,115,ISR,IL
日本,116,JPN,JP
约旦,117,JOR,JO
科威特,118,KWT,KW
老挝,119,LAO,LA
黎巴嫩,120,LBN,LB
中国澳门,121,MAC,MO
马来西亚,122,MYS,MY
马尔代夫,123,MDV,MV
蒙古,124,MNG,MN
尼泊尔,125,NPL,NP
阿曼,126,OMN,OM
巴基斯坦,127,PAK,PK
巴勒斯坦,128,PSE,PS
菲律宾,129,PHL,PH
卡塔尔,130,QAT,QA
沙特阿拉伯,131,SAU,SA
新加坡,132,SGP,SG
韩国,133,KOR,KR
斯里兰卡,134,LKA,LK
叙利亚,135,SYR,SY
泰国,136,THA,TH
土耳其,137,TUR,TR
阿联酋,138,ARE,AE
也门,139,YEM,YE
越南,141,VNM,VN
中国,142,CHN,CN
中国台湾,143,TWN,TW
东帝汶,144,TLS,TL
哈萨克斯坦,145,KAZ,KZ
吉尔吉斯斯坦,146,KGZ,KG
塔吉克斯坦,147,TJK,TJ
土库曼斯坦,148,TKM,TM
乌兹别克斯坦,149,UZB,UZ
格鲁吉亚(2023年起),150,GEO,GE
亚美尼亚(2023年起),151,ARM,AM
阿塞拜疆(2023年起),152,AZE,AZ
亚洲其他国家(地区),199,ZAS,-
阿尔及利亚,201,DZA,DZ
安哥拉,202,AGO,AO
贝宁,203,BEN,BJ
博茨瓦纳,204,BWA,BW
布隆迪,205,BDI,BI
喀麦隆,206,CMR,CM
加那利群岛,207,CAI,-
佛得角,208,CPV,CV
中非,209,CAF,CF
塞卜泰(休达),210,CEU,-
乍得,211,TCD,TD
科摩罗,212,COM,KM
刚果共和国,213,COG,CG
吉布提,214,DJI,DJ
埃及,215,EGY,EG
赤道几内亚,216,GNQ,GQ
埃塞俄比亚,217,ETH,ET
加蓬,218,GAB,GA
冈比亚,219,GMB,GM
加纳,220,GHA,GH
几内亚,221,GIN,GN
几内亚比绍,222,GNB,GW
科特迪瓦,223,CIV,CI
肯尼亚,224,KEN,KE
利比里亚,225,LBR,LR
利比亚,226,LBY,LY
马达加斯加,227,MDG,MG
马拉维,228,MWI,MW
马里,229,MLI,ML
毛里塔尼亚,230,MRT,MR
毛里求斯,231,MUS,MU
摩洛哥,232,MAR,MA
莫桑比克,233,MOZ,MZ
纳米比亚,234,NAM,NA
尼日尔,235,NER,NE
尼日利亚,236,NGA,NG
留尼汪,237,REU,RE
卢旺达,238,RWA,RW
圣多美和普林西比,239,STP,ST
塞内加尔,240,SEN,SN
塞舌尔,241,SYC,SC
塞拉利昂,242,SLE,SL
索马里,243,SOM,SO
南非,244,ZAF,ZA
西撒哈拉,245,ESH,EH
苏丹,246,SDN,SD
坦桑尼亚,247,TZA,TZ
多哥,248,TGO,TG
突尼斯,249,TUN,TN
乌干达,250,UGA,UG
布基纳法索,251,BFA,BF
刚果民主共和国,252,COD,CD
赞比亚,253,ZMB,ZM
津巴布韦,254,ZWE,ZW
莱索托,255,LSO,LS
梅利利亚,256,MEL,-
